kepid,ra,ra_err,dec,dec_err,ra_str,dec_str,kepoi_name,kepler_name,alt_name,tm_designation,koi_list_flag,last_update
2849805,290.884670,0.000000,38.057571,0.000000,19h23m32.32s,+38d03m27.3s,K01116.01,Kepler-773 b,Kepler-773 b,2MASS J19233232+3803272,YES,2016-05-10
6362874,291.433290,0.000000,41.703442,0.000000,19h25m43.99s,+41d42m12.4s,K01128.01,Kepler-775 b,Kepler-775 b,2MASS J19254399+4142123,YES,2016-05-10
3749365,292.068300,0.000000,38.842270,0.000000,19h28m16.39s,+38d50m32.2s,K01176.01,Kepler-785 b,Kepler-785 b,2MASS J19281639+3850321,YES,2016-05-10
3859079,293.743930,0.000000,38.939281,0.000000,19h34m58.54s,+38d56m21.4s,K01199.01,Kepler-786 b,Kepler-786 b,2MASS J19345854+3856214,YES,2016-05-10
3869014,295.975160,0.000000,38.946640,0.000000,19h43m54.04s,+38d56m47.9s,K01205.01,Kepler-789 b,Kepler-789 b,2MASS J19435403+3856479,YES,2016-05-10
3442055,291.019040,0.000000,38.545570,0.000000,19h24m04.57s,+38d32m44.1s,K01218.01,Kepler-795 b,Kepler-795 b,2MASS J19240457+3832440,YES,2016-05-10
6693640,292.478210,0.000000,42.142288,0.000000,19h29m54.77s,+42d08m32.2s,K01245.01,Kepler-798 b,Kepler-798 b,2MASS J19295476+4208322,YES,2016-05-10
8583696,299.221620,0.000000,44.693871,0.000000,19h56m53.19s,+44d41m37.9s,K01275.01,Kepler-803 b,Kepler-803 b,2MASS J19565318+4441379,YES,2016-05-10
8628758,293.372250,0.000000,44.785141,0.000000,19h33m29.34s,+44d47m06.5s,K01279.01,Kepler-804 b,Kepler-804 b,2MASS J19332934+4447064,YES,2016-05-10
10975146,291.594090,0.000000,48.445610,0.000000,19h26m22.58s,+48d26m44.2s,K01300.01,Kepler-808 b,Kepler-808 b,2MASS J19262258+4826442,YES,2016-05-10
10724369,289.083650,0.000000,48.018131,0.000000,19h16m20.08s,+48d01m05.3s,K01302.01,Kepler-809 b,Kepler-809 b,2MASS J19162007+4801052,YES,2016-05-10
10964440,285.662690,0.000000,48.435371,0.000000,19h02m39.05s,+48d26m07.3s,K01310.01,Kepler-813 b,Kepler-813 b,2MASS J19023904+4826073,YES,2016-05-10
10963242,284.910490,0.000000,48.431641,0.000000,18h59m38.52s,+48d25m53.9s,K01312.01,Kepler-814 b,Kepler-814 b,2MASS J18593851+4825539,YES,2016-05-10
4650674,290.477420,0.000000,39.732010,0.000000,19h21m54.58s,+39d43m55.2s,K01341.01,Kepler-824 b,Kepler-824 b,2MASS J19215457+3943552,YES,2016-05-10
4136466,284.860140,0.000000,39.240551,0.000000,18h59m26.43s,+39d14m26.0s,K01344.01,Kepler-826 b,Kepler-826 b,2MASS J18592643+3914259,YES,2016-05-10
7211469,295.054290,0.000000,42.756840,0.000000,19h40m13.03s,+42d45m24.6s,K01377.01,Kepler-830 b,Kepler-830 b,2MASS J19401302+4245246,YES,2016-05-10
7211221,294.985470,0.000000,42.727669,0.000000,19h39m56.51s,+42d43m39.6s,K01379.01,Kepler-831 b,Kepler-831 b,2MASS J19395651+4243396,YES,2016-05-10
11493431,283.504790,0.000000,49.451019,0.000000,18h54m01.15s,+49d27m03.7s,K01434.01,Kepler-847 b,Kepler-847 b,2MASS J18540115+4927036,YES,2016-05-10
11032227,293.084470,0.000000,48.575390,0.000000,19h32m20.27s,+48d34m31.4s,K01440.01,Kepler-850 b,Kepler-850 b,2MASS J19322027+4834314,YES,2016-05-10
