Starname,Rp,Mp,P,Rs,Ms,Ms-Err,Detection Method,Source,System Detection Method
K01278,1.554,3.812232079633568,13.639525,1.129,0.86,0.101,Transit,cks,Transit
K01279,1.938,6.511249883425505,14.37457351,1.051,0.927,0.066,Transit,cks,Transit
K01279,1.198,1.8898342903890342,9.65185017,1.051,0.927,0.066,Transit,cks,Transit
K01301,2.228,5.663442293884502,12.69902995,0.755,0.766,0.086,Transit,cks,Transit
K01301,2.562,5.383283791515424,37.5140693,0.755,0.766,0.086,Transit,cks,Transit
K01305,1.478,3.5257295109153954,2.633857233,0.846,0.915,0.073,Transit,cks,Transit
K01305,1.173,1.6166149485694277,6.18666218,0.846,0.915,0.073,Transit,cks,Transit
K01306,1.296,2.28132008049534,1.796324389,0.856,0.83,0.123,Transit,cks,Transit
K01306,1.388,2.853033529130338,3.46808239,0.856,0.83,0.123,Transit,cks,Transit
K01306,1.391,2.8682366432053876,5.91428767,0.856,0.83,0.123,Transit,cks,Transit
K01306,1.688,4.9342444709024935,29.2215101,0.856,0.83,0.123,Transit,cks,Transit
K01307,3.129,6.779947788926855,44.8521071,0.905,0.963,0.135,Transit,cks,Transit
K01307,2.152,5.566542191977902,20.34234237,0.905,0.963,0.135,Transit,cks,Transit
K01332,2.947,7.042651558357285,19.30577159,1.039,0.842,0.142,Transit,cks,Transit
K01332,1.598,4.429599379929952,6.09750607,1.039,0.842,0.142,Transit,cks,Transit
K01332,3.513,8.24994698374262,56.6388791,1.039,0.842,0.142,Transit,cks,Transit
K01336,2.766,6.960180245758725,10.21866016,0.965,1.024,0.198,Transit,cks,Transit
K01336,2.604,6.130534199218034,15.57363551,0.965,1.024,0.198,Transit,cks,Transit
K01336,2.95,5.775395202144734,40.1014272,0.965,1.024,0.198,Transit,cks,Transit
K01336,1.415,3.0577081973492177,4.45815716,0.965,1.024,0.198,Transit,cks,Transit
K01353,11.307,110.92508414636247,125.86543389,0.994,1.061,0.312,Transit,cks,Transit
K01353,2.121,5.420930783746445,34.5438464,0.994,1.061,0.312,Transit,cks,Transit
K01359,3.899,15.518831938735092,37.101107,0.967,0.89,0.111,Transit,cks,Transit
K01359,7.553,51.229526850326394,104.8206039,0.967,0.89,0.111,Transit,cks,Transit
K01360,3.146,6.6677669643690205,36.7704731,0.696,0.756,0.073,Transit,cks,Transit
K01360,1.999,5.457142040484843,14.58932462,0.696,0.756,0.073,Transit,cks,Transit
K01360,0.817,0.4863372483382823,0.764020072,0.696,0.756,0.073,Transit,cks,Transit
K01363,2.605,9.278020725694589,3.54653414,1.184,1.023,0.189,Transit,cks,Transit
K01363,2.32,7.961483070071221,5.70071153,1.184,1.023,0.189,Transit,cks,Transit
K01364,2.611,5.548953678524809,20.8342947,0.813,0.865,0.092,Transit,cks,Transit
K01364,2.284,6.4381163555167245,7.0556671,0.813,0.865,0.092,Transit,cks,Transit
K01364,2.543,5.8714511022900275,11.978822,0.813,0.865,0.092,Transit,cks,Transit
K01364,1.589,4.222332865362429,3.71545391,0.813,0.865,0.092,Transit,cks,Transit
K01364,1.461,3.3558962096460796,2.58082149,0.813,0.865,0.092,Transit,cks,Transit
K01366,2.653,5.609124833672697,19.25405306,0.833,0.934,0.143,Transit,cks,Transit
K01366,3.365,8.192149704945326,54.1561078,0.833,0.934,0.143,Transit,cks,Transit
K01396,2.705,7.379121400612369,6.62643626,0.908,0.947,0.148,Transit,cks,Transit
K01396,1.727,5.407873945339558,3.70120482,0.908,0.947,0.148,Transit,cks,Transit
K01426,2.788,5.513669367631747,38.86840425,0.875,0.927,0.204,Transit,cks,Transit
K01426,6.353,38.55126644430332,74.92771752,0.875,0.927,0.204,Transit,cks,Transit
K01432,2.104,6.1582448921654525,6.88595559,0.973,1.004,0.116,Transit,cks,Transit
K01432,1.835,5.259235320348076,15.0548689,0.973,1.004,0.116,Transit,cks,Transit
K01432,1.293,2.2264388989290502,2.92721559,0.973,1.004,0.116,Transit,cks,Transit
K01432,1.813,5.556884841258842,38.2856338,0.973,1.004,0.116,Transit,cks,Transit
K01436,1.422,3.0844326657235697,2.508554095,0.94,1.022,0.109,Transit,cks,Transit
K01436,2.09,5.925363215749643,13.75134642,0.94,1.022,0.109,Transit,cks,Transit
K01436,1.478,3.540193122602133,5.41907559,0.94,1.022,0.109,Transit,cks,Transit
K01445,1.573,4.360038327496259,7.16892463,1.434,1.278,0.099,Transit,cks,Transit
K01445,0.96,0.7626483008159952,54.325574,1.434,1.278,0.099,Transit,cks,Transit
K01480,2.813,5.591444200430306,20.38177573,0.701,0.73,0.083,Transit,cks,Transit
K01480,1.195,1.5725194142840515,7.00441825,0.701,0.73,0.083,Transit,cks,Transit
K01486,11.066,101.4063577314806,127.2824031,1.048,1.021,0.105,Transit,cks,Transit
K01486,3.411,11.540937839168555,30.1836854,1.048,1.021,0.105,Transit,cks,Transit
K01529,2.144,6.488783182608628,17.9776157,1.338,0.93,0.199,Transit,cks,Transit
K01529,1.353,2.741219688693337,11.8691507,1.338,0.93,0.199,Transit,cks,Transit
K01534,1.885,6.647202779285976,20.42228798,1.367,1.173,0.276,Transit,cks,Transit
K01534,1.221,1.88172917069936,7.63846023,1.367,1.173,0.276,Transit,cks,Transit
K01563,3.359,11.212116318533788,5.48711079,0.771,0.84,0.131,Transit,cks,Transit
K01563,3.213,9.113763254032545,8.29087418,0.771,0.84,0.131,Transit,cks,Transit
K01563,1.753,5.385813503267338,3.20539833,0.771,0.84,0.131,Transit,cks,Transit
K01563,2.579,5.465443456539127,16.73865956,0.771,0.84,0.131,Transit,cks,Transit
K01567,2.332,6.00592426133122,7.2402285,0.769,0.75,0.084,Transit,cks,Transit
K01567,1.639,4.432059270889268,4.64621076,0.769,0.75,0.084,Transit,cks,Transit
K01567,2.317,5.28285910156627,17.32668599,0.769,0.75,0.084,Transit,cks,Transit
K01567,2.473,4.989010938018917,44.8412214,0.769,0.75,0.084,Transit,cks,Transit
K01576,2.908,7.5802809711078005,10.41572924,0.919,1.007,0.141,Transit,cks,Transit
K01576,2.719,6.2468780953250285,13.08424096,0.919,1.007,0.141,Transit,cks,Transit
K01596,1.553,3.823407640858316,5.92365634,0.739,0.816,0.07,Transit,cks,Transit
K01596,3.155,6.243024840293001,105.3585964,0.739,0.816,0.07,Transit,cks,Transit
K01598,3.273,8.362759617499982,56.476167,0.839,0.854,0.119,Transit,cks,Transit
K01598,2.336,5.019522730385432,92.8750347,0.839,0.854,0.119,Transit,cks,Transit
K01598,1.189,1.558377245657879,13.93072278,0.839,0.854,0.119,Transit,cks,Transit
K01601,3.23,10.498566860859928,10.3507721,1.577,0.931,0.094,Transit,cks,Transit
K01601,4.125,14.880788205741771,62.9228557,1.577,0.931,0.094,Transit,cks,Transit
K01608,1.659,4.783384313220416,9.17613539,1.139,0.994,0.072,Transit,cks,Transit
K01608,1.544,3.3721697139178133,19.7383913,1.139,0.994,0.072,Transit,cks,Transit
K01608,2.116,4.805373177132305,232.058029,1.139,0.994,0.072,Transit,cks,Transit
K01647,2.682,7.20873182764768,14.9702081,1.507,1.114,0.15,Transit,cks,Transit
K01647,2.393,5.9919091651726335,32.2752118,1.507,1.114,0.15,Transit,cks,Transit
K01647,1.432,2.602615263180903,6.33027476,1.507,1.114,0.15,Transit,cks,Transit
K01692,2.767,7.388684654410126,5.96040108,0.876,0.99,0.015,Transit,cks,Transit
K01692,0.78,0.42254882099952085,2.46106655,0.876,0.99,0.015,Transit,cks,Transit
K01779,3.893,16.708531242505487,4.662719058,0.972,1.073,0.262,Transit,cks,Transit
K01779,3.034,8.705609060271915,11.8150013,0.972,1.073,0.262,Transit,cks,Transit
K01781,3.238,10.22418517374151,7.834427877,0.738,0.831,0.034,Transit,cks,Transit
K01781,1.866,7.101024896326111,3.005155704,0.738,0.831,0.034,Transit,cks,Transit
K01781,3.376,10.737154991853362,58.0192007,0.738,0.831,0.034,Transit,cks,Transit
K01783,8.954,67.32323100400893,134.4786723,1.143,1.076,0.131,Transit,cks,Transit
K01783,5.253,26.755633719088856,284.060953,1.143,1.076,0.131,Transit,cks,Transit
K01805,2.456,6.721281190108519,6.941359624,0.84,0.933,0.174,Transit,cks,Transit
K01805,2.148,5.3348812536683905,31.78209253,0.84,0.933,0.174,Transit,cks,Transit
K01805,1.526,3.884168960220614,4.362744362,0.84,0.933,0.174,Transit,cks,Transit
K01809,2.073,6.251823873157804,13.0939051,0.988,1.024,0.221,Transit,cks,Transit
K01809,1.652,4.871632695119986,4.915387067,0.988,1.024,0.221,Transit,cks,Transit
K01820,1.549,4.086467377591823,4.337224039,0.805,0.908,0.179,Transit,cks,Transit
K01820,0.937,0.7526793663176427,1.653893465,0.805,0.908,0.179,Transit,cks,Transit
K01824,1.533,3.9908736540274723,3.553829671,1.092,0.947,0.306,Transit,cks,Transit
K01824,1.348,2.529277610423952,1.67832545,1.092,0.947,0.306,Transit,cks,Transit
K01831,3.374,7.976671364227631,51.8096695,0.835,0.901,0.068,Transit,cks,Transit
K01831,1.15,1.4878440747326662,4.38536461,0.835,0.901,0.068,Transit,cks,Transit
K01831,1.175,1.5084812055345722,34.2069395,0.835,0.901,0.068,Transit,cks,Transit
K01831,1.577,3.771106722780516,13.97946561,0.835,0.901,0.068,Transit,cks,Transit
K01832,2.427,7.349645703441139,4.544437773,0.81,0.914,0.128,Transit,cks,Transit
K01832,2.744,6.8542501049167,12.76224947,0.81,0.914,0.128,Transit,cks,Transit
K01832,2.482,5.184093072982545,38.7146833,0.81,0.914,0.128,Transit,cks,Transit
K01837,1.923,5.27456953242798,34.1731714,0.778,0.876,0.12,Transit,cks,Transit
K01837,0.951,0.7891529462260929,1.682934604,0.778,0.876,0.12,Transit,cks,Transit
