#@string,ra,dec
TARGET,RA,DEC
HD 4203,223.8199788,-59.4096776
HD 4208,224.2016850,-59.5793505
HD 42618,224.2276121,-59.8648290
HD 4308,224.5892892,-59.9425892
HD 4313,224.8728589,-6.0026026
HD 43197,225.0254554,-6.0279068
HD 43691,225.8984524,-6.0417592
HD 44219,225.8999745,-6.1360833
HD 45184,227.2154975,-6.1393369
HD 45350,227.2703290,-6.1952168
HD 45364,227.6586754,-6.2297801
HD 45652,227.6847587,-6.2943552
HD 46375,227.8493710,-6.3789537
HD 47186,228.0210932,-6.4020685
HD 4732,228.2482353,-6.4649888
HD 47366,228.3675397,-6.5178542
HD 47536,228.6188638,-6.5760510
HD 4760,229.2745954,-6.6122880
HD 48265,229.5714974,-6.7218474
HD 4917,229.7756438,-6.8040714
HD 49674,229.8564725,-6.8052985
HD 50499,229.9912200,-6.8342028
HD 50554,23.3350424,-6.9485133
HD 51608,23.5214497,-60.0237289
HD 52265,23.5934253,-60.0657292
HD 5278,230.0350768,-60.0772290
HD 5319,230.1724206,-60.2006948
HD 55696,230.4401147,-60.4478194
HD 5583,230.4799011,-60.5114881
HD 5608,231.2323227,-60.6347649
HD 564,232.1466406,-60.7399096
HD 5891,232.4461375,-60.8917599
HD 59686 A,232.5774696,-60.9054608
HD 60292,233.0743401,-61.0952624
HD 60532,233.3698192,-61.1462496
HD 62509,233.6247336,-61.4056976
HD 63433,233.8173564,-61.4223747
HD 63454,233.8818636,-61.4468591
HD 63765,233.9150820,-61.5868613
HD 64114,234.8578846,-61.6901291
HD 6434,236.7235392,-61.7474000
HD 65216,237.4054997,-61.7561333
HD 66141,237.5732422,-61.9572476
HD 66428,237.8080012,-62.4555353
HD 67087,238.0735585,-62.4693167
HD 6718,238.2342443,-62.6761821
HD 68402,238.4023547,-62.7018297
HD 68988,239.3965057,-62.7672667
HD 69830,239.4189890,-63.2603301
HD 70573,239.9622479,-63.5001660
HD 70642,24.1678686,-63.5656488
HD 7199,24.1983534,-63.6466892
HD 72490,24.3544618,-63.9883286
HD 72659,24.4731133,-64.0223492
HD 72892,24.6051389,-64.0270390
HD 73267,240.0333095,-64.5052107
HD 73526,240.0956400,-64.6202728
HD 73534,240.2600639,-64.7126993
HD 74156,240.4588405,-65.1863239
HD 7449,240.5492745,-65.1937800
HD 75289,242.2645452,-65.5786149
HD 75784,242.5162215,-65.6463263
HD 75898,242.5481731,-65.6527159
HD 76700,242.5613635,-66.1139253
HD 76920,242.5734559,-66.1886947
HD 77338,242.6021014,-66.1943379
HD 7924,242.9019658,-66.3589285
HD 79498,243.1742467,-66.4677838
HD 80606,243.2912249,-66.5811639
HD 80653,243.4509662,-66.6763495
HD 81040,243.9597194,-66.8004747
HD 81688,244.1419684,-67.2653621
HD 81817,244.1725686,-67.6469871
HD 82886,245.1514324,-68.3144658
HD 82943,245.4405531,-68.4246679
HD 8326,245.7490012,-68.7629901
HD 83443,246.0057894,-69.1721081
HD 8535,246.3557854,-69.1960430
HD 85390,246.4351678,-69.2265926
HD 85512,246.4380471,-69.9450664
HD 8574,246.6114157,-7.0606675
HD 86081,246.6429443,-7.2575413
HD 86226,246.6920395,-7.3180577
HD 86264,247.0723035,-7.3739779
HD 8673,247.1171311,-7.4082451
HD 86950,247.5748276,-7.4698950
HD 87646,247.6229827,-7.5505962
HD 87883,247.8255687,-7.6037856
HD 88133,248.2126715,-7.6676027
HD 89307,249.3148604,-7.6867213
HD 89345,25.4715240,-7.7226935
HD 89744,25.6233526,-7.8575592
HD 90156,25.9203179,-7.9563525
HD 9174,252.4260080,-7.9724560
HD 92788,253.3732313,-7.9956702
HD 92987,253.4316451,-70.0245193
HD 93083,253.7688479,-70.0733957
HD 9446,254.1305022,-70.1528621
HD 94834,254.5363221,-70.9032461
HD 95089,255.6524619,-71.3616316
